Filename,Label
LA_T_1886695,spoof
LA_T_5554253,bonafide
LA_T_4868918,spoof
LA_T_3909811,spoof
LA_T_2385213,spoof
LA_T_3815272,spoof
LA_T_1639691,bonafide
LA_T_2212820,spoof
LA_T_2619404,spoof
LA_T_3887046,bonafide
LA_T_3853297,spoof
LA_T_1345274,spoof
LA_T_4207818,spoof
LA_T_3748725,spoof
LA_T_2724328,spoof
LA_T_8285892,bonafide
LA_T_2321972,spoof
LA_T_1391534,bonafide
LA_T_4642415,bonafide
LA_T_4673290,bonafide
LA_T_8605065,bonafide
LA_T_6774634,bonafide
LA_T_4494659,spoof
LA_T_2846023,spoof
LA_T_8475651,bonafide
LA_T_3508076,spoof
LA_T_6597785,bonafide
LA_T_3264459,bonafide
LA_T_6651761,bonafide
LA_T_1022109,spoof
LA_T_3616712,spoof
LA_T_1996248,spoof
LA_T_8665473,bonafide
LA_T_1140654,spoof
LA_T_1915815,spoof
LA_T_5572362,bonafide
LA_T_9110555,bonafide
LA_T_2046425,spoof
LA_T_4460814,bonafide
LA_T_3169034,spoof
LA_T_2400809,spoof
LA_T_3811635,spoof
LA_T_2520083,bonafide
LA_T_2309977,spoof
LA_T_2599380,bonafide
LA_T_3517928,bonafide
LA_T_2880635,spoof
LA_T_1554753,spoof
LA_T_3907784,spoof
LA_T_4352298,bonafide
LA_T_3667123,spoof
LA_T_4557107,bonafide
LA_T_1390747,spoof
LA_T_3812400,bonafide
LA_T_3387982,bonafide
LA_T_1690402,spoof
LA_T_4400717,spoof
LA_T_2394703,bonafide
LA_T_4321723,spoof
LA_T_3362954,spoof
LA_T_2890940,bonafide
LA_T_7544663,bonafide
LA_T_5051764,bonafide
LA_T_5127288,bonafide
LA_T_2678775,spoof
LA_T_8615006,bonafide
LA_T_1471299,spoof
LA_T_2090997,spoof
LA_T_4627481,spoof
LA_T_3694904,spoof
LA_T_1461181,spoof
LA_T_3169688,spoof
LA_T_7024695,bonafide
LA_T_2645041,spoof
LA_T_1585216,spoof
LA_T_8639914,bonafide
LA_T_2988002,spoof
LA_T_8747294,bonafide
LA_T_2202862,bonafide
LA_T_4827397,bonafide
LA_T_9169770,bonafide
LA_T_1483721,bonafide
LA_T_4450297,spoof
LA_T_4691738,spoof
LA_T_1078395,bonafide
LA_T_3741757,spoof
LA_T_1873241,spoof
LA_T_8086364,bonafide
LA_T_4694860,bonafide
LA_T_6271185,bonafide
LA_T_4897529,spoof
LA_T_3846691,spoof
LA_T_4712814,spoof
LA_T_9881187,bonafide
LA_T_2949940,spoof
LA_T_4237787,bonafide
LA_T_3533946,bonafide
LA_T_5318441,bonafide
LA_T_2948827,bonafide
LA_T_5644159,bonafide
LA_T_4061171,spoof
LA_T_9596913,bonafide
LA_T_5223695,bonafide
LA_T_1841206,spoof
LA_T_9321757,bonafide
LA_T_4097500,bonafide
LA_T_1808196,spoof
LA_T_3933288,spoof
LA_T_3127267,bonafide
LA_T_1916240,spoof
LA_T_7182662,bonafide
LA_T_5123366,bonafide
LA_T_5796504,bonafide
LA_T_3996239,spoof
LA_T_1824372,spoof
LA_T_1575861,spoof
LA_T_1312812,spoof
LA_T_9912406,bonafide
LA_T_2374706,spoof
LA_T_7717952,bonafide
LA_T_1383116,spoof
LA_T_3602602,bonafide
LA_T_5953323,bonafide
LA_T_5765844,bonafide
LA_T_2646474,bonafide
LA_T_1821817,spoof
LA_T_3419405,bonafide
LA_T_8448770,bonafide
LA_T_6139557,bonafide
LA_T_6192370,bonafide
LA_T_4881506,bonafide
LA_T_1369507,bonafide
LA_T_5469120,bonafide
LA_T_3971569,spoof
LA_T_2982213,bonafide
LA_T_8162915,bonafide
LA_T_6487011,bonafide
LA_T_3385161,bonafide
LA_T_3710081,spoof
LA_T_4693633,spoof
LA_T_2384250,spoof
LA_T_1644078,bonafide
LA_T_8145267,bonafide
LA_T_5806387,bonafide
LA_T_1205824,spoof
LA_T_6423802,bonafide
LA_T_3411293,spoof
LA_T_8864733,bonafide
